operation,size,time
insert,10,0.15912499999998886
insert,10,0.012499999999988631
insert,10,0.007332999999988488
insert,10,0.0052500000000179625
insert,10,0.006332999999983713
insert,10,0.005790999999987889
insert,10,0.004750000000001364
insert,10,0.005375000000015007
insert,10,0.005583999999998923
insert,10,0.005707999999998492
insert,10,0.0049590000000137024
insert,10,0.004833999999988237
insert,10,0.004917000000006055
insert,10,0.005375000000015007
insert,11,0.006208999999984144
insert,11,0.006207999999986669
insert,11,0.007000000000005002
insert,11,0.0061670000000049185
insert,11,0.007167000000009693
insert,11,0.00595799999999258
insert,11,0.0063750000000197815
insert,11,0.007000000000005002
insert,11,0.006292000000001963
insert,11,0.006875000000007958
insert,11,0.006500000000016826
insert,11,0.005583000000001448
insert,11,0.006166999999976497
insert,12,0.0072920000000067375
insert,12,0.008458000000018728
insert,12,0.006790999999992664
insert,12,0.006042000000007874
insert,12,0.01300000000000523
insert,12,0.008708000000012817
insert,12,0.04283399999999915
insert,12,0.00766699999999787
insert,12,0.0061249999999972715
insert,12,0.008750000000020464
insert,12,0.007834000000002561
insert,13,0.009208000000000993
insert,13,0.007916999999991958
insert,13,0.00895900000000438
insert,13,0.00837500000000091
insert,13,0.01650000000000773
insert,13,0.008665999999976748
insert,13,0.010707999999993945
insert,13,0.02295800000001691
insert,13,0.009166999999990821
insert,13,0.010000000000019327
insert,13,0.035415999999997894
insert,14,0.008040999999991527
insert,14,0.008541000000008125
insert,14,0.008624999999994998
insert,14,0.01362499999999045
insert,14,0.010625000000004547
insert,14,0.008958000000006905
insert,14,0.009332999999998037
insert,14,0.009457999999995081
insert,14,0.009792000000004464
insert,14,0.009292000000016287
insert,15,0.009582999999992126
insert,15,0.009166999999990821
insert,15,0.010333000000002812
insert,15,0.007666000000000395
insert,15,0.027457999999995764
insert,15,0.06629100000000676
insert,15,0.009375000000005684
insert,15,0.013332999999988715
insert,15,0.02687500000001819
insert,16,0.052958000000018046
insert,16,0.07229200000000446
insert,16,0.040208000000006905
insert,16,0.028874999999999318
insert,16,0.03762499999999136
insert,16,0.012249999999994543
insert,16,0.010917000000006283
insert,16,0.012666999999993322
insert,16,0.01037500000001046
insert,17,0.028999999999996362
insert,17,0.035416000000026315
insert,17,0.016708999999991647
insert,17,0.02645799999999099
insert,17,0.010250000000013415
insert,17,0.008916999999996733
insert,17,0.009958999999980733
insert,17,0.009833000000014636
insert,17,0.04058299999999804
insert,18,0.011832999999995764
insert,18,0.012750000000011141
insert,18,0.01270900000000097
insert,18,0.01170799999999872
insert,18,0.013125000000002274
insert,18,0.01229200000000219
insert,18,0.013625000000018872
insert,19,0.012791000000021313
insert,19,0.012167000000005146
insert,19,0.013125000000002274
